Accession	Id	Description
PF14099	Polysacc_lyase	Polysaccharide lyase
PF14467	DUF4426	Domain of unknown function (DUF4426)
PF14489	QueF	QueF-like protein
PF14518	Haem_oxygenas_2	Iron-containing redox enzyme
PF14521	Aspzincin_M35	Lysine-specific metallo-endopeptidase
PF14552	Tautomerase_2	Tautomerase enzyme
PF14569	zf-UDP	Zinc-binding RING-finger
PF14572	Pribosyl_synth	Phosphoribosyl synthetase-associated domain
PF14583	Pectate_lyase22	Oligogalacturonate lyase
PF14651	Lipocalin_7	Lipocalin / cytosolic fatty-acid binding protein family
PF14681	UPRTase	Uracil phosphoribosyltransferase
PF14696	Glyoxalase_5	Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal
PF14699	hGDE_N	N-terminal domain from the human glycogen debranching enzyme
PF14701	hDGE_amylase	Glycogen debranching enzyme, glucanotransferase domain
PF14702	hGDE_central	Central domain of human glycogen debranching enzyme
PF14718	SLT_L	Soluble lytic murein transglycosylase L domain
PF14724	mit_SMPDase	Mitochondrial-associated sphingomyelin phosphodiesterase
PF14736	N_Asn_amidohyd	Protein N-terminal asparagine amidohydrolase
PF14823	Sirohm_synth_C	Sirohaem biosynthesis protein C-terminal
PF14824	Sirohm_synth_M	Sirohaem biosynthesis protein central
PF14829	GPAT_N	Glycerol-3-phosphate acyltransferase N-terminal
PF14850	Pro_dh-DNA_bdg	DNA-binding domain of Proline dehydrogenase
PF15291	Dermcidin	Dermcidin, antibiotic peptide
PF15461	BCD	Beta-carotene 15,15'-dioxygenase
PF15979	Glyco_hydro_115	Glycosyl hydrolase family 115
PF16141	DUF4849	Putative glycoside hydrolase Family 18, chitinase_18
PF16670	PI-PLC-C1	Phosphoinositide phospholipase C, Ca2+-dependent
PF16683	TGase_elicitor	Transglutaminase elicitor
PF16861	Carbam_trans_C	Carbamoyltransferase C-terminus
PF16876	Lipin_mid	Lipin/Ned1/Smp2 multi-domain protein middle domain
PF16896	PGDH_C	Phosphogluconate dehydrogenase (decarboxylating) C-term
PF16923	Glyco_hydro_63N	Glycosyl hydrolase family 63 N-terminal domain
PF17048	Ceramidse_alk_C	Neutral/alkaline non-lysosomal ceramidase, C-terminal
PF18130	ATPgrasp_N	ATP-grasp N-terminal domain
